StoreId,StoreType,Area
3435,Kiosk,Αττική
3439,Kiosk,Κρήτη
3484,Kiosk,Μακεδονία και Θράκη
3493,Kiosk,Κρήτη
3521,Kiosk,Αττική
3553,Kiosk,Αττική
3563,Kiosk,Αττική
3583,Kiosk,Αττική
3628,Kiosk,Δυτική και Κεντρική Ελλάδα
3641,Kiosk,Αττική
3667,Kiosk,Αττική
3711,Kiosk,Μακεδονία και Θράκη
3733,Kiosk,Δυτική και Κεντρική Ελλάδα
3741,Kiosk,Πελοπόννησος
3753,Kiosk,Αττική
3813,Kiosk,Πελοπόννησος
3950,Kiosk,Αττική
3964,Kiosk,Αττική
3984,Kiosk,Μακεδονία και Θράκη
4008,Kiosk,Μακεδονία και Θράκη
4138,Kiosk,Πελοπόννησος
4140,Kiosk,Πελοπόννησος
4230,Kiosk,Δυτική και Κεντρική Ελλάδα
4232,Kiosk,Αττική
5013,Kiosk,Αττική
5118,Kiosk,Αττική
5122,Kiosk,Δυτική και Κεντρική Ελλάδα
5138,Kiosk,Αττική
5320,Kiosk,Πελοπόννησος
5417,Kiosk,Νησιά
5474,Kiosk,Νησιά
5492,Kiosk,Μακεδονία και Θράκη
5597,Kiosk,Κρήτη
5705,Kiosk,Μακεδονία και Θράκη
5791,Kiosk,Πελοπόννησος
5897,Kiosk,Νησιά
5988,Kiosk,Δυτική και Κεντρική Ελλάδα
5993,Kiosk,Αττική
6036,Kiosk,Μακεδονία και Θράκη
6363,Kiosk,Αττική
6366,Kiosk,Κρήτη
6419,Kiosk,Αττική
6441,Kiosk,Αττική
6455,Kiosk,Πελοπόννησος
6532,Kiosk,Νησιά
6582,Kiosk,Αττική
6588,Kiosk,Μακεδονία και Θράκη
6599,Kiosk,Αττική
6690,Kiosk,Νησιά
6694,Kiosk,Μακεδονία και Θράκη
6767,Kiosk,Αττική
6872,Kiosk,Μακεδονία και Θράκη
6894,Kiosk,Πελοπόννησος
6969,Kiosk,Νησιά
7125,Kiosk,Δυτική και Κεντρική Ελλάδα
7227,Kiosk,Πελοπόννησος
7325,Kiosk,Αττική
7329,Kiosk,Μακεδονία και Θράκη
7364,Kiosk,Αττική
7374,Kiosk,Πελοπόννησος
7419,Kiosk,Αττική
7434,Kiosk,Κρήτη
7446,Kiosk,Νησιά
7531,Kiosk,Μακεδονία και Θράκη
7592,Kiosk,Αττική
7644,Kiosk,Δυτική και Κεντρική Ελλάδα
7687,Kiosk,Δυτική και Κεντρική Ελλάδα
7735,Kiosk,Αττική
7781,Kiosk,Μακεδονία και Θράκη
7804,Kiosk,Δυτική και Κεντρική Ελλάδα
7988,Kiosk,Αττική
8024,Kiosk,Μακεδονία και Θράκη
8518,Kiosk,Μακεδονία και Θράκη
8531,Kiosk,Αττική
8543,Kiosk,Μακεδονία και Θράκη
9742,Kiosk,Αττική
9887,Kiosk,Αττική
9944,Kiosk,Αττική
9967,Kiosk,Πελοπόννησος
10080,Kiosk,Μακεδονία και Θράκη
10161,Kiosk,Αττική
10254,Kiosk,Μακεδονία και Θράκη
10257,Kiosk,Δυτική και Κεντρική Ελλάδα
10280,Kiosk,Αττική
10372,Kiosk,Μακεδονία και Θράκη
10378,Kiosk,Πελοπόννησος
10503,Kiosk,Μακεδονία και Θράκη
10745,Kiosk,Αττική
10884,Kiosk,Αττική
3545,Mini-Market,Αττική
3557,Mini-Market,Μακεδονία και Θράκη
3645,Mini-Market,Νησιά
3716,Mini-Market,Μακεδονία και Θράκη
3730,Mini-Market,Πελοπόννησος
3735,Mini-Market,Μακεδονία και Θράκη
3747,Mini-Market,Μακεδονία και Θράκη
3923,Mini-Market,Αττική
3938,Mini-Market,Μακεδονία και Θράκη
3974,Mini-Market,Μακεδονία και Θράκη
4021,Mini-Market,Μακεδονία και Θράκη
4049,Mini-Market,Μακεδονία και Θράκη
4071,Mini-Market,Δυτική και Κεντρική Ελλάδα
4081,Mini-Market,Μακεδονία και Θράκη
4096,Mini-Market,Αττική
4099,Mini-Market,Μακεδονία και Θράκη
4107,Mini-Market,Νησιά
4877,Mini-Market,Μακεδονία και Θράκη
5022,Mini-Market,Πελοπόννησος
5102,Mini-Market,Μακεδονία και Θράκη
5115,Mini-Market,Κρήτη
5287,Mini-Market,Μακεδονία και Θράκη
5327,Mini-Market,Αττική
5335,Mini-Market,Μακεδονία και Θράκη
5400,Mini-Market,Πελοπόννησος
5449,Mini-Market,Αττική
5478,Mini-Market,Αττική
5531,Mini-Market,Αττική
5662,Mini-Market,Μακεδονία και Θράκη
5683,Mini-Market,Κρήτη
5720,Mini-Market,Αττική
5731,Mini-Market,Αττική
5782,Mini-Market,Πελοπόννησος
5936,Mini-Market,Πελοπόννησος
6001,Mini-Market,Κρήτη
6238,Mini-Market,Μακεδονία και Θράκη
6347,Mini-Market,Αττική
6431,Mini-Market,Μακεδονία και Θράκη
6526,Mini-Market,Αττική
6530,Mini-Market,Νησιά
6652,Mini-Market,Μακεδονία και Θράκη
6748,Mini-Market,Αττική
6858,Mini-Market,Μακεδονία και Θράκη
6891,Mini-Market,Αττική
6955,Mini-Market,Δυτική και Κεντρική Ελλάδα
6979,Mini-Market,Νησιά
6983,Mini-Market,Αττική
