InvoiceGlobalId,cluster
4099_1273451,0
4099_1273452,0
4099_1273453,0
4099_1273455,4
4099_1273456,0
4099_1273457,5
4099_1273458,0
4099_1273459,0
4099_1273460,0
4099_1273463,4
4099_1273464,4
4099_1273465,6
4099_1273466,4
4099_1273467,1
4099_1273468,7
4099_1273471,4
4099_1273472,0
4099_1273475,5
4099_1273476,0
4099_1273477,0
4099_1273478,0
4099_1273479,4
4099_1273480,4
4099_1273481,4
4099_1273484,0
4099_1273488,7
4099_1273489,0
4099_1273491,0
4099_1273493,0
4099_1273495,5
4099_1273501,4
4099_1273502,4
4099_1273504,0
4099_1273506,7
4099_1273507,4
4099_1273509,4
4099_1273513,0
4099_1273514,0
4099_1273515,3
4099_1273517,0
4099_1273518,0
4099_1273519,0
4099_1273521,0
4099_1273523,0
4099_1273524,4
4099_1273525,0
4099_1273527,4
4099_1273528,0
4099_1273530,0
4099_1273532,5
4099_1273534,3
4099_1273536,4
4099_1273540,4
4099_1273542,5
4099_1273544,6
4099_1273546,1
4099_1273547,4
4099_1273548,4
4099_1273549,5
4099_1273550,0
4099_1273551,4
4099_1273552,5
4099_1273553,0
4099_1273556,4
4099_1273558,4
4099_1273559,4
4099_1273560,4
4099_1273561,0
4099_1273562,0
4099_1273563,0
4099_1273564,5
4099_1273565,4
4099_1273566,1
4099_1273567,0
4099_1273568,0
4099_1273569,0
4099_1273570,0
4099_1273571,6
4099_1273572,0
4099_1273574,0
4099_1273575,6
4099_1273578,4
4099_1273579,0
4099_1273582,0
4099_1273585,0
4099_1273586,4
4099_1273587,6
4099_1273588,4
4099_1273589,0
4099_1273591,0
4099_1273593,4
4099_1273594,0
4099_1273595,0
4099_1273596,0
4099_1273598,4
4099_1273599,0
4099_1273600,5
4099_1273601,0
4099_1273602,4
4099_1273604,6
4099_1273606,6
4099_1273607,0
4099_1273608,0
4099_1273609,0
4099_1273610,0
4099_1273611,4
4099_1273613,4
4099_1273614,4
4099_1273617,0
4099_1273621,4
4099_1273622,0
4099_1273624,0
4099_1273627,0
4099_1273628,4
4099_1273629,0
4099_1273630,3
4099_1273631,4
4099_1273632,0
4099_1273633,3
4099_1273634,1
4099_1273635,0
4099_1273636,4
4099_1273638,4
4099_1273639,0
4099_1273640,6
4099_1273641,4
4099_1273643,4
4099_1273644,4
4099_1273645,4
4099_1273646,4
4099_1273647,2
4099_1273649,4
4099_1273652,4
4099_1273655,4
4099_1273656,6
4099_1273659,5
4099_1273660,4
4099_1273662,0
4099_1273663,6
4099_1273664,0
4099_1273667,6
4099_1273668,5
4099_1273669,4
4099_1273670,0
4099_1273671,4
4099_1273672,4
4099_1273673,5
4099_1273674,4
4099_1273675,0
4099_1273677,4
4099_1273679,0
4099_1273680,0
4099_1273681,0
4099_1273682,0
4099_1273686,0
4099_1273687,4
4099_1273688,0
4099_1273689,4
4099_1273691,4
4099_1273692,4
4099_1273693,4
4099_1273694,4
4099_1273697,4
4099_1273698,4
4099_1273699,0
4099_1273700,2
4099_1273701,0
4099_1273703,4
4099_1273705,4
4099_1273708,4
4099_1273709,5
4099_1273710,4
4099_1273711,7
4099_1273712,7
4099_1273713,0
4099_1273714,4
4099_1273716,5
4099_1273717,0
4099_1273718,0
4099_1273720,0
4099_1273721,5
4099_1273723,1
4099_1273725,4
4099_1273726,0
